Accuracy, Ncore, Bmodel, Blife, Weight, WS
54.275, 8, 3, 12.7898499750598, 248, 0.5
54.275, 8, 4, 15.3478199700718, 286, 0.5
54.275, 8, 1, 4.11182097131491, 140, 0.75
54.275, 8, 2, 8.22364194262982, 200, 0.75
54.275, 8, 3, 10.2795524282873, 248, 0.75
54.275, 8, 4, 12.3354629139447, 286, 0.75
54.275, 8, 1, 3.43719387492052, 140, 1.0
54.275, 8, 2, 6.87438774984103, 200, 1.0
54.275, 8, 3, 8.59298468730128, 248, 1.0
54.275, 8, 4, 10.3115816247615, 286, 1.0
54.275, 8, 2, 5.90547548304944, 200, 1.25
54.275, 8, 3, 7.3818443538118, 248, 1.25
54.275, 8, 4, 8.85821322457416, 286, 1.25
54.275, 8, 2, 5.175949948564, 200, 1.5
54.275, 8, 3, 6.469937435705, 248, 1.5
54.275, 8, 4, 7.763924922846, 286, 1.5
53.87, 1, 1, 9.62116656644618, 90, 0.25
53.87, 1, 2, 19.2423331328924, 150, 0.25
53.87, 1, 3, 24.0529164161155, 198, 0.25
53.87, 1, 4, 28.8634996993386, 236, 0.25
53.87, 2, 1, 9.71947174671057, 105, 0.25
53.87, 2, 2, 19.4389434934211, 165, 0.25
53.87, 2, 3, 24.2986793667764, 213, 0.25
53.87, 2, 4, 29.1584152401317, 251, 0.25
53.87, 2, 1, 5.85574375265338, 105, 0.5
53.87, 2, 2, 11.7114875053068, 165, 0.5
53.87, 2, 3, 14.6393593816335, 213, 0.5
53.87, 2, 4, 17.5672312579602, 251, 0.5
53.87, 2, 1, 4.19008312077391, 105, 0.75
53.87, 2, 2, 8.38016624154781, 165, 0.75
53.87, 2, 3, 10.4752078019348, 213, 0.75
53.87, 2, 4, 12.5702493623217, 251, 0.75
53.87, 4, 1, 8.50163922231255, 120, 0.25
53.87, 4, 2, 17.0032784446251, 180, 0.25
53.87, 4, 3, 21.2540980557814, 228, 0.25
53.87, 4, 4, 25.5049176669376, 266, 0.25
53.87, 4, 1, 5.70617479439939, 120, 0.5
53.87, 4, 2, 11.4123495887988, 180, 0.5
53.87, 4, 3, 14.2654369859985, 228, 0.5
53.87, 4, 4, 17.1185243831982, 266, 0.5
53.87, 4, 1, 4.29418379643422, 120, 0.75
53.87, 4, 2, 8.58836759286843, 180, 0.75
53.87, 4, 3, 10.7354594910855, 228, 0.75
53.87, 4, 4, 12.8825513893027, 266, 0.75
53.87, 4, 1, 3.44237041626864, 120, 1.0
53.87, 4, 2, 6.88474083253729, 180, 1.0
53.87, 4, 3, 8.60592604067161, 228, 1.0
53.87, 4, 4, 10.3271112488059, 266, 1.0
53.87, 4, 2, 5.7451144085674, 180, 1.25
53.87, 4, 3, 7.18139301070925, 228, 1.25
53.87, 4, 4, 8.6176716128511, 266, 1.25
53.87, 4, 2, 4.92918911758272, 180, 1.5
53.87, 4, 3, 6.16148639697841, 228, 1.5
53.87, 4, 4, 7.39378367637409, 266, 1.5
53.87, 8, 1, 6.78598693697514, 140, 0.25
53.87, 8, 2, 13.5719738739503, 200, 0.25
53.87, 8, 3, 16.9649673424379, 248, 0.25
53.87, 8, 4, 20.3579608109254, 286, 0.25
53.87, 8, 1, 5.13544742585698, 140, 0.5
53.87, 8, 2, 10.270894851714, 200, 0.5
53.87, 8, 3, 12.8386185646424, 248, 0.5
53.87, 8, 4, 15.4063422775709, 286, 0.5
53.87, 8, 1, 4.130737853049, 140, 0.75
53.87, 8, 2, 8.26147570609801, 200, 0.75
53.87, 8, 3, 10.3268446326225, 248, 0.75
53.87, 8, 4, 12.392213559147, 286, 0.75
53.87, 8, 1, 3.45482812230092, 140, 1.0
53.87, 8, 2, 6.90965624460183, 200, 1.0
53.87, 8, 3, 8.63707030575229, 248, 1.0
53.87, 8, 4, 10.3644843669028, 286, 1.0
53.87, 8, 2, 5.93802189645574, 200, 1.25
53.87, 8, 3, 7.42252737056968, 248, 1.25
53.87, 8, 4, 8.90703284468361, 286, 1.25
53.87, 8, 2, 5.20596082514479, 200, 1.5
53.87, 8, 3, 6.50745103143099, 248, 1.5
53.87, 8, 4, 7.80894123771719, 286, 1.5
50.225, 1, 1, 9.65425692391239, 90, 0.25
50.225, 1, 2, 19.3085138478248, 150, 0.25
50.225, 1, 3, 24.135642309781, 198, 0.25
50.225, 1, 4, 28.9627707717372, 236, 0.25
50.225, 2, 1, 9.74850086335161, 105, 0.25
50.225, 2, 2, 19.4970017267032, 165, 0.25
50.225, 2, 3, 24.371252158379, 213, 0.25
50.225, 2, 4, 29.2455025900548, 251, 0.25
50.225, 2, 1, 5.87683044903392, 105, 0.5
50.225, 2, 2, 11.7536608980678, 165, 0.5
50.225, 2, 3, 14.6920761225848, 213, 0.5
50.225, 2, 4, 17.6304913471018, 251, 0.5
50.225, 2, 1, 4.20628239823294, 105, 0.75
50.225, 2, 2, 8.41256479646588, 165, 0.75
50.225, 2, 3, 10.5157059955824, 213, 0.75
50.225, 2, 4, 12.6188471946988, 251, 0.75
50.225, 4, 1, 8.52047763667512, 120, 0.25
50.225, 4, 2, 17.0409552733502, 180, 0.25
50.225, 4, 3, 21.3011940916878, 228, 0.25
50.225, 4, 4, 25.5614329100254, 266, 0.25
50.225, 4, 1, 5.72316070134473, 120, 0.5
50.225, 4, 2, 11.4463214026895, 180, 0.5
50.225, 4, 3, 14.3079017533618, 228, 0.5
50.225, 4, 4, 17.1694821040342, 266, 0.5
50.225, 4, 1, 4.3086188264561, 120, 0.75
50.225, 4, 2, 8.61723765291221, 180, 0.75
50.225, 4, 3, 10.7715470661403, 228, 0.75
50.225, 4, 4, 12.9258564793683, 266, 0.75
50.225, 4, 1, 3.45474158964752, 120, 1.0
50.225, 4, 2, 6.90948317929504, 180, 1.0
50.225, 4, 3, 8.6368539741188, 228, 1.0
50.225, 4, 4, 10.3642247689426, 266, 1.0
50.225, 4, 2, 5.7666541422147, 180, 1.25
50.225, 4, 3, 7.20831767776838, 228, 1.25
50.225, 4, 4, 8.64998121332205, 266, 1.25
50.225, 4, 2, 4.9482184403401, 180, 1.5
50.225, 4, 3, 6.18527305042513, 228, 1.5
50.225, 4, 4, 7.42232766051015, 266, 1.5
50.225, 8, 1, 6.79584434118537, 140, 0.25
50.225, 8, 2, 13.5916886823707, 200, 0.25
50.225, 8, 3, 16.9896108529634, 248, 0.25
50.225, 8, 4, 20.3875330235561, 286, 0.25
50.225, 8, 1, 5.14674661279739, 140, 0.5
50.225, 8, 2, 10.2934932255948, 200, 0.5
50.225, 8, 3, 12.8668665319935, 248, 0.5
50.225, 8, 4, 15.4402398383922, 286, 0.5
